User 3: 0.8031747 accuracy; in the following cases: 
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.4, 0.1, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.0, 0.5, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.1, 0.0, 0.4, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.1, 0.1, 0.3, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.1, 0.2, 0.2, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.1, 0.4, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.2, 0.0, 0.3, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.2, 0.1, 0.2, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.2, 0.3, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.3, 0.0, 0.2, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.3, 0.1, 0.1, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.3, 0.2, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.4, 0.0, 0.1, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.4, 0.1, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.5, 0.5, 0.0, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.0, 0.0, 0.4, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.0, 0.1, 0.3, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.0, 0.2, 0.2, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.0, 0.4, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.1, 0.0, 0.3, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.1, 0.1, 0.2, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.1, 0.3, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.2, 0.0, 0.2, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.2, 0.1, 0.1, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.2, 0.2, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.6, 0.4, 0.0, 0.0, 0.0] as factor vector
0.70069236 precision; 0.48967424 recall; 0.05 treshold; 4.0wc; [0.7, 0.0, 0.0, 0.3, 0.0] as factor vector
